title,worldwide_gross,domestic_gross,foreign_gross,widest_opening,rating,budget,month,year,adjust,tickets_sold,gross_adj,season
The Money Pit (1986),54999651,37499651,17500000,1193,PG,NA,March,1986,3.71,10107722.64,91070581,Spring
Police Academy 3: Back in Training (1986),43579163,43579163,0,1788,PG,NA,March,1986,3.71,11746405.12,105835110.1,Spring
Gung Ho (1986),36611610,36611610,0,1175,PG-13,NA,March,1986,3.71,9868358.491,88913910,Spring
Pretty in Pink (1986),40471663,40471663,0,1117,PG-13,NA,February,1986,3.71,10908804.04,98288324.43,Winter
House (1986),19444631,19444631,0,1440,R,NA,February,1986,3.71,5241140.431,47222675.29,Winter
Down and Out in Beverly Hills (1986),62134225,62134225,0,1084,R,1.40E+07,January,1986,3.71,16747769.54,150897403.6,Winter
The Color Purple (1985),98467863,98467863,0,NA,PG-13,NA,December,1985,3.55,27737426.2,249914210,Winter
Out of Africa (1985),227514205,87071205,140443000,1102,PG,NA,December,1985,3.55,24527100,220989171,Winter
Three Men and a Baby (1987),167780960,167780960,0,1813,PG,1.10E+07,November,1987,3.91,42910731.46,386625690.4,Fall
Eddie Murphy Raw (1987),50504655,50504655,0,1494,R,NA,December,1987,3.91,12916791.56,116380292,Winter
Throw Momma From the Train (1987),57915972,57915972,0,1623,PG-13,NA,December,1987,3.91,14812269.05,133458544.2,Winter
The Running Man (1987),38122105,38122105,0,1694,R,2.70E+07,November,1987,3.91,9749898.977,87846589.78,Fall
Fatal Attraction (1987),320145693,156645693,163500000,1401,R,NA,September,1987,3.91,40062837.08,360966162.1,Fall
Stakeout (1987),65673233,65673233,0,1364,R,NA,August,1987,3.91,16796223.27,151333971.7,Summer
The Living Daylights (1987),51185897,51185897,0,1728,PG,NA,July,1987,3.91,13091022.25,117950110.5,Summer
Summer School (1987),35659098,35659098,0,1366,PG-13,NA,July,1987,3.91,9119973.913,82170964.96,Summer
Snow White and the Seven Dwarfs (Re-issue) (1987) (1987),184925486,184925486,0,1729,G,NA,July,1987,3.91,47295520.72,426132641.7,Summer
Revenge of the Nerds II: Nerds in Paradise (1987),30063289,30063289,0,1358,PG-13,NA,July,1987,3.91,7688820.716,69276274.65,Summer
Dragnet (1987),66673516,57387516,9286000,1343,PG-13,NA,June,1987,3.91,14677114.07,132240797.7,Summer
The Witches of Eastwick (1987),63766510,63766510,0,1337,R,NA,June,1987,3.91,16308570.33,146940218.7,Summer
Predator (1987),98267558,59735548,38532010,1636,R,1.50E+07,June,1987,3.91,15277633.76,137651480.2,Summer
The Untouchables (1987),76270454,76270454,0,1501,R,NA,June,1987,3.91,19506509.97,175753654.9,Summer
Beverly Hills Cop II (1987),299965036,153665036,146300000,2326,R,NA,May,1987,3.91,39300520.72,354097691.7,Spring
The Secret of My Success (1987),110996879,66995879,44001000,1346,PG-13,NA,April,1987,3.91,17134495.91,154381808.1,Spring
Police Academy 4: Citizens on Patrol (1987),28061343,28061343,0,1750,PG,NA,April,1987,3.91,7176814.066,64663094.74,Spring
Blind Date (1987),39321715,39321715,0,1390,PG-13,NA,March,1987,3.91,10056704.6,90610908.48,Spring
Lethal Weapon (1987),NA,NA,0,NA,R,NA,March,1987,3.91,NA,NA,Spring
A Nightmare on Elm Street 3: Dream Warriors (1987),44793222,44793222,0,1383,R,NA,February,1987,3.91,11456067.01,103219163.7,Winter
Platoon (1986),138530565,138530565,0,NA,R,6.00E+06,December,1986,3.71,37339774.93,336431372.1,Winter
Critical Condition (1987),20240502,20240502,0,1343,R,NA,January,1987,3.91,5176598.977,46641156.78,Winter
Rain Man (1988),354825435,172825435,1.82E+08,1590,R,2.50E+07,December,1988,4.11,42049984.18,378870357.5,Winter
Twins (1988),216614388,111938388,104676000,1659,PG,1.50E+07,December,1988,4.11,27235617.52,245392913.8,Winter
The Naked Gun: From the Files of Police Squad! (1988),78756177,78756177,0,1969,PG-13,NA,December,1988,4.11,19162086.86,172650402.6,Winter
Scrooged (1988),60328558,60328558,0,1897,PG-13,NA,November,1988,4.11,14678481.27,132253116.2,Fall
The Land Before Time (1988),84460846,48092846,36368000,1414,G,NA,November,1988,4.11,11701422.38,105429815.7,Fall
Child's Play (1988),44196684,33244684,10952000,1490,R,NA,November,1988,4.11,8088730.9,72879465.41,Fall
They Live (1988),NA,NA,0,NA,R,NA,November,1988,4.11,NA,NA,Fall
Halloween 4: The Return of Michael Myers (1988),17768757,17768757,0,1692,R,5.00E+06,October,1988,4.11,4323298.54,38952919.85,Fall
The Accused (1988),32078318,32078318,0,930,R,NA,October,1988,4.11,7804943.552,70322541.41,Fall
Alien Nation (1988),32155047,25216243,6938804,1436,R,NA,October,1988,4.11,6135338.929,55279403.75,Fall
Gorillas in the Mist (1988),61149479,24720479,36429000,NA,PG-13,NA,September,1988,4.11,6014715.085,54192582.92,Fall
Dead Ringers (1988),8038508,8038508,0,1048,R,NA,September,1988,4.11,1955841.363,17622130.68,Fall
A Fish Called Wanda (1988),NA,NA,0,NA,R,NA,July,1988,4.11,NA,NA,Summer
Moon Over Parador (1988),11444204,11444204,0,1145,PG-13,NA,September,1988,4.11,2784477.859,25088145.51,Fall
A Nightmare on Elm Street 4: The Dream Master (1988),49369899,49369899,0,1767,R,NA,August,1988,4.11,12012140.88,108229389.3,Summer
Young Guns (1988),45661556,45661556,0,1416,R,NA,August,1988,4.11,11109867.64,100099907.4,Summer
Cocktail (1988),171504781,78222753,93282028,1462,R,NA,July,1988,4.11,19032300,171481023,Summer
Who Framed Roger Rabbit (1988),329803958,156452370,173351588,1598,PG,7.00E+07,June,1988,4.11,38066270.07,342977093.4,Summer
The Dead Pool (1988),37903295,37903295,0,1831,R,NA,July,1988,4.11,9222212.895,83092138.19,Summer
Coming to America (1988),288752301,128152301,160600000,2064,R,NA,June,1988,4.11,31180608.52,280937282.7,Summer
Red Heat (1988),34994648,34994648,0,1892,R,NA,June,1988,4.11,8514512.895,76715761.19,Summer
Crocodile Dundee II (1988),239606210,109306210,130300000,2837,PG,NA,May,1988,4.11,26595184.91,239622616.1,Spring
Willow (1988),57269863,57269863,0,1209,PG,NA,May,1988,4.11,13934273.24,125547801.9,Spring
Friday the 13th Part VII (1988),19170001,19170001,0,1796,R,NA,May,1988,4.11,4664233.82,42024746.72,Spring
Colors (1988),46616067,46616067,0,NA,R,NA,April,1988,4.11,11342108.76,102192399.9,Spring
Beetlejuice (1988),NA,NA,0,NA,PG,NA,March,1988,4.11,NA,NA,Spring
Biloxi Blues (1988),51684798,43184798,8500000,1330,PG-13,NA,March,1988,4.11,10507250.12,94670323.6,Spring
Police Academy 5: Assignment: Miami Beach (1988),19510371,19510371,0,1700,PG,NA,March,1988,4.11,4747048.905,42770910.64,Spring
"Good Morning, Vietnam  (1987)",123922370,123922370,0,NA,R,NA,December,1987,3.91,31693700.77,285560243.9,Winter
The War of the Roses (1989),160188546,86888546,73300000,1559,R,NA,December,1989,3.97,21886283.63,197195415.5,Winter
Christmas Vacation (1989),71319526,71319526,0,1950,PG-13,NA,December,1989,3.97,17964616.12,161861191.2,Winter
Back to the Future Part II (1989),NA,NA,0,NA,PG,4.00E+07,November,1989,3.97,NA,NA,Fall
Harlem Nights (1989),60864870,60864870,0,2180,R,NA,November,1989,3.97,15331201.51,138134125.6,Fall
Look Who's Talking (1989),296999813,140088813,156911000,1651,PG-13,NA,October,1989,3.97,35286854.66,317934560.5,Fall
Black Rain (1989),134212055,46212055,8.80E+07,1760,R,NA,September,1989,3.97,11640316.12,104879248.2,Fall
Sea of Love (1989),110879513,58571513,52308000,1439,R,NA,September,1989,3.97,14753529.72,132929302.8,Fall
Uncle Buck (1989),79258538,66758538,12500000,1835,PG,NA,August,1989,3.97,16815752.64,151509931.3,Summer
The Abyss (1989),NA,NA,0,NA,PG-13,NA,August,1989,3.97,NA,NA,Summer
Parenthood (1989),126297830,100047830,26250000,1399,PG-13,NA,August,1989,3.97,25200964.74,227060692.3,Summer
Turner & Hooch (1989),71079915,71079915,0,1888,PG,NA,July,1989,3.97,17904260.71,161317389,Summer
Lethal Weapon 2 (1989),227853986,147253986,80600000,1830,R,NA,July,1989,3.97,37091684.13,334196074,Summer
Batman (1989),411508343,251348343,160160000,2201,PG-13,3.50E+07,June,1989,3.97,63311925.19,570440446,Summer
Ghostbusters II (1989),215394738,112494738,102900000,2410,PG,NA,June,1989,3.97,28336206.05,255309216.5,Summer
Star Trek V: The Final Frontier (1989),52210049,52210049,0,2202,PG,NA,June,1989,3.97,13151145.84,118491824.1,Summer
Indiana Jones and the Last Crusade (1989),NA,NA,0,NA,PG-13,4.80E+07,May,1989,3.97,NA,NA,Spring
"See No Evil, Hear No Evil (1989)",46908987,46908987,0,1686,R,NA,May,1989,3.97,11815865.74,106460950.3,Spring
Pet Sematary (1989),57469467,57469467,0,1585,R,NA,April,1989,3.97,14475936.27,130428185.8,Spring
Major League (1989),49797148,49797148,0,1615,R,NA,April,1989,3.97,12543362.22,113015693.6,Spring
Fletch Lives (1989),39450960,35150960,4300000,1512,PG,NA,March,1989,3.97,8854146.096,79775856.32,Spring
Lean on Me (1989),31906454,31906454,0,1107,PG-13,NA,March,1989,3.97,8036890.176,72412380.49,Spring
The 'Burbs (1989),49101993,36601993,12500000,1956,PG,NA,February,1989,3.97,9219645.592,83069006.78,Winter
The Fly II (1989),38903179,20021322,18881857,1528,R,NA,February,1989,3.97,5043154.156,45438818.95,Winter
Home Alone (1990),476684675,285761243,190923432,2173,PG,1.80E+07,November,1990,4.23,67555849.41,608678203.2,Fall
Child's Play 2 (1990),35763605,28501605,7262000,2017,R,NA,November,1990,4.23,6737968.085,60709092.45,Fall
Jacob's Ladder (1990),26118851,26118851,0,1264,R,NA,November,1990,4.23,6174669.267,55633770.1,Fall
Graveyard Shift (1990),11582891,11582891,0,1603,R,NA,October,1990,4.23,2738272.104,24671831.66,Fall
Marked for Death (1990),57968936,46044396,11924540,1974,R,NA,October,1990,4.23,10885200,98075652,Fall
Pacific Heights (1990),44926706,29381956,15544750,1291,R,NA,September,1990,4.23,6946088.889,62584260.89,Fall
Goodfellas (1990),NA,NA,0,NA,R,NA,September,1990,4.23,NA,NA,Fall
Postcards from the Edge (1990),39071603,39071603,0,1323,R,NA,September,1990,4.23,9236785.579,83223438.07,Fall
Ghost (1990),NA,NA,0,NA,PG-13,2.20E+07,July,1990,4.23,NA,NA,Summer
Darkman (1990),48878502,33878502,1.50E+07,1833,R,NA,August,1990,4.23,8009102.128,72162010.17,Summer
Flatliners (1990),61489265,61489265,0,1483,R,NA,August,1990,4.23,14536469.27,130973588.1,Summer
Presumed Innocent (1990),221303188,86303188,1.35E+08,1451,R,NA,July,1990,4.23,20402644.92,183827830.7,Summer
Die Hard 2: Die Harder (1990),240031094,117540947,122490147,2507,R,7.00E+07,July,1990,4.23,27787457.92,250364995.9,Summer
Days of Thunder (1990),157920733,82670733,75250000,2307,PG-13,NA,June,1990,4.23,19543908.51,176090615.7,Summer
Dick Tracy (1990),162738726,103738726,5.90E+07,2332,PG,4.70E+07,June,1990,4.23,24524521.51,220965938.8,Summer
Another 48 HRS. (1990),153518974,80818974,72700000,2721,R,NA,June,1990,4.23,19106140.43,172146325.2,Summer
Total Recall (1990),261317921,119412921,141905000,2131,R,6.50E+07,June,1990,4.23,28230004.96,254352344.7,Summer
Back to the Future Part III (1990),244527583,87727583,156800000,2070,PG,4.00E+07,May,1990,4.23,20739381.32,186861825.7,Spring
Bird on a Wire (1990),138697012,70978012,67719000,2008,PG-13,NA,May,1990,4.23,16779671.87,151184843.5,Spring
Pretty Woman (1990),463406268,178406268,2.85E+08,1811,R,1.40E+07,March,1990,4.23,42176422.7,380009568.5,Spring
Teenage Mutant Ninja Turtles (1990),NA,NA,0,NA,PG,13500000,March,1990,4.23,NA,NA,Spring
The Hunt for Red October (1990),200512643,122012643,78500000,1817,PG,3.00E+07,March,1990,4.23,28844596.45,259889814,Spring
Driving Miss Daisy (1989),145793296,106593296,39200000,NA,PG,NA,December,1989,3.97,26849696.73,241915767.5,Winter
Hard to Kill (1990),47410827,47410827,0,1508,R,NA,February,1990,4.23,11208233.33,100986182.3,Winter
Born on the Fourth of July (1989),161001698,70001698,9.10E+07,NA,R,NA,December,1989,3.97,17632669.52,158870352.4,Winter
Hook (1991),300854823,119654823,181200000,2254,PG,7.00E+07,December,1991,4.21,28421573.16,256078374.2,Winter
Star Trek VI: The Undiscovered Country (1991),96888996,74888996,2.20E+07,2147,PG,NA,December,1991,4.21,17788360.1,160273124.5,Winter
The Addams Family (1991),191502426,113502426,7.80E+07,2411,PG-13,3.00E+07,November,1991,4.21,26960196.2,242911367.8,Fall
Cape Fear (1991),NA,NA,0,NA,R,NA,November,1991,4.21,NA,NA,Fall
Curly Sue (1991),33691313,33691313,0,1634,PG,NA,October,1991,4.21,8002687.173,72104211.43,Fall
The People Under the Stairs (1991),31347154,24204154,7143000,1850,R,6.00E+06,November,1991,4.21,5749205.226,51800339.08,Fall
House Party 2 (1991),19438638,19438638,0,1185,R,5.00E+06,October,1991,4.21,4617253.682,41601455.67,Fall
Other People's Money (1991),25682090,25682090,0,1249,R,NA,October,1991,4.21,6100258.907,54963332.76,Fall
The Fisher King (1991),41895491,41895491,0,NA,R,NA,September,1991,4.21,9951423.04,89662321.59,Fall
Freddy's Dead: The Final Nightmare (1991),34872033,34872033,0,1862,R,1.10E+07,September,1991,4.21,8283143.23,74631120.51,Fall
Dead Again (1991),38016380,38016380,0,NA,R,NA,August,1991,4.21,9030019.002,81360471.21,Summer
Hot Shots! (1991),181096164,69467617,111628547,1999,PG-13,2.60E+07,July,1991,4.21,16500621.62,148670600.8,Summer
Terminator 2: Judgment Day (1991),520881154,205881154,3.15E+08,2495,R,1.02E+08,July,1991,4.21,48902886.94,440615011.3,Summer
The Naked Gun 2 1/2: The Smell of Fear (1991),86930411,86930411,0,2378,PG-13,2.30E+07,June,1991,4.21,20648553.68,186043468.7,Summer
Robin Hood: Prince of Thieves (1991),390493908,165493908,2.25E+08,2369,PG-13,4.80E+07,June,1991,4.21,39309716.86,354180549,Summer
City Slickers (1991),179033791,124033791,5.50E+07,2171,PG-13,2.70E+07,June,1991,4.21,29461708.08,265449989.8,Summer
Backdraft (1991),152368585,77868585,74500000,1983,R,NA,May,1991,4.21,18496100.95,166649869.6,Spring
What About Bob? (1991),63707829,63707829,0,1805,PG,NA,May,1991,4.21,15132500.95,136343833.6,Spring
F/X 2 (1991),21082165,21082165,0,1502,PG-13,NA,May,1991,4.21,5007640.143,45118837.68,Spring
Oscar (1991),23562716,23562716,0,1391,PG,NA,April,1991,4.21,5596844.656,50427570.35,Spring
Out for Justice (1991),39673161,39673161,0,2010,R,1.40E+07,April,1991,4.21,9423553.682,84906218.67,Spring
Teenage Mutant Ninja Turtles II (1991),78656813,78656813,0,2868,PG,2.50E+07,March,1991,4.21,18683328.5,168336789.8,Spring
The Silence of the Lambs (1991),NA,NA,0,NA,R,1.90E+07,February,1991,4.21,NA,NA,Winter
Sleeping with the Enemy (1991),174999005,101599005,73400000,1545,R,1.90E+07,February,1991,4.21,24132780.29,217436350.4,Winter
Aladdin (1992),504050219,217350219,286700000,NA,G,2.80E+07,November,1992,4.15,52373546.75,471885656.2,Fall
A Few Good Men (1992),243240178,141340178,101900000,2201,R,4.00E+07,December,1992,4.15,34057874.22,306861446.7,Winter
Home Alone 2: Lost in New York (1992),358994850,173585516,185409334,2461,PG,NA,November,1992,4.15,41827835.18,376868795,Fall
Bram Stoker's Dracula (1992),215862692,82522790,133339902,2491,R,4.00E+07,November,1992,4.15,19885009.64,179163936.8,Fall
Passenger 57 (1992),44065653,44065653,0,1974,R,NA,November,1992,4.15,10618229.64,95670249.04,Fall
Under Siege (1992),156563139,83563139,7.30E+07,2248,R,NA,October,1992,4.15,20135696.14,181422622.3,Fall
The Last of the Mohicans (1992),75505856,75505856,0,1856,R,4.00E+07,September,1992,4.15,18194182.17,163929581.3,Fall
Sneakers (1992),105232691,51432691,53800000,2062,PG-13,NA,September,1992,4.15,12393419.52,111664709.9,Fall
Honeymoon in Vegas (1992),35208854,35208854,0,1765,PG-13,2.50E+07,August,1992,4.15,8484061.205,76441391.46,Summer
Unforgiven (1992),159157447,101157447,5.80E+07,2087,R,NA,August,1992,4.15,24375288.43,219621348.8,Summer
Death Becomes Her (1992),149022650,58422650,90600000,1866,PG-13,5.50E+07,July,1992,4.15,14077746.99,126840500.4,Summer
Mo' Money (1992),40227006,40227006,0,1705,R,NA,July,1992,4.15,9693254.458,87336222.67,Summer
"Honey, I Blew Up the Kid (1992)",58662452,58662452,0,2429,PG,NA,July,1992,4.15,14135530.6,127361130.7,Summer
A League of Their Own (1992),132440069,107533928,24906141,2084,PG,4.00E+07,July,1992,4.15,25911789.88,233465226.8,Summer
Batman Returns (1992),266892996,162902340,103990656,2644,PG-13,8.00E+07,June,1992,4.15,39253575.9,353674718.9,Summer
Patriot Games (1992),178051587,83351587,94700000,2396,R,4.50E+07,June,1992,4.15,20084719.76,180963325,Summer
Lethal Weapon 3 (1992),321731527,144731527,1.77E+08,2568,R,3.50E+07,May,1992,4.15,34875066.75,314224351.4,Spring
Basic Instinct (1992),352927224,117727224,235200000,1884,R,4.90E+07,March,1992,4.15,28368005.78,255595732.1,Spring
Sleepwalkers (1992),30524763,30524763,0,1914,R,NA,April,1992,4.15,7355364.578,66271834.85,Spring
White Men Can't Jump (1992),90753806,76253806,14500000,1929,R,NA,March,1992,4.15,18374411.08,165553443.9,Spring
Wayne's World (1992),NA,NA,0,NA,PG-13,2.00E+07,February,1992,4.15,NA,NA,Winter
Medicine Man (1992),45500797,45500797,0,1370,PG-13,4.00E+07,February,1992,4.15,10964047.47,98786067.7,Winter
The Hand That Rocks the Cradle (1992),88036683,88036683,0,1759,R,NA,January,1992,4.15,21213658.55,191135063.6,Winter
Mrs. Doubtfire (1993),441286195,219195243,222090952,2354,PG-13,2.50E+07,November,1993,4.14,52945710.87,477040854.9,Fall
The Pelican Brief (1993),195268056,100768056,94500000,2022,PG-13,NA,December,1993,4.14,24340110.14,219304392.4,Winter
Wayne's World 2 (1993),48197805,48197805,0,2400,PG-13,4.00E+07,December,1993,4.14,11641981.88,104894256.8,Winter
Addams Family Values (1993),48919043,48919043,0,2577,PG-13,NA,November,1993,4.14,11816193.96,106463907.6,Fall
The Three Musketeers (1993) (1993),53898845,53898845,0,2128,PG,NA,November,1993,4.14,13019044.69,117301592.6,Fall
Tim Burton's The Nightmare Before Christmas (1993),75082668,75082668,0,NA,PG,NA,October,1993,4.14,18135910.14,163404550.4,Fall
Demolition Man (1993),58055768,58055768,0,2258,R,NA,October,1993,4.14,14023132.37,126348422.6,Fall
Malice (1993),46405336,46405336,0,1519,R,NA,October,1993,4.14,11209018.36,100993255.4,Fall
The Good Son (1993),60613008,44789789,15823219,1902,R,NA,September,1993,4.14,10818789.61,97477294.42,Fall
Striking Distance (1993),24107867,24107867,0,1917,R,NA,September,1993,4.14,5823156.28,52466638.08,Fall
The Fugitive (1993),368875760,183875760,1.85E+08,2425,PG-13,NA,August,1993,4.14,44414434.78,400174057.4,Summer
Rising Sun (1993),107198790,63179523,44019267,1722,R,NA,July,1993,4.14,15260754.35,137499396.7,Summer
In the Line of Fire (1993),176997168,102314823,74682345,2129,R,4.00E+07,July,1993,4.14,24713725.36,222670665.5,Summer
The Firm (1993),270248367,158348367,111900000,2393,R,NA,July,1993,4.14,38248397.83,344618064.4,Summer
Jurassic Park (1993),1029528120,402828120,626700000,2566,PG-13,6.30E+07,June,1993,4.14,97301478.26,876686319.1,Summer
Cliffhanger (1993),255000211,84049211,170951000,2431,R,7.00E+07,May,1993,4.14,20301741.79,182918693.5,Spring
Sliver (1993),116300000,36300000,8.00E+07,2093,R,NA,May,1993,4.14,8768115.942,79000724.64,Spring
Dave (1993),63270710,63270710,0,1916,PG-13,NA,May,1993,4.14,15282780.19,137697849.5,Spring
Dragon: The Bruce Lee Story (1993),63513743,35113743,28400000,1985,PG-13,NA,May,1993,4.14,8481580.435,76419039.72,Spring
Indecent Proposal (1993),266614059,106614059,1.60E+08,1922,R,NA,April,1993,4.14,25752188.16,232027215.4,Spring
Cop and a Half (1993),40689691,31889691,8800000,1793,PG,NA,April,1993,4.14,7702823.913,69402443.46,Spring
Teenage Mutant Ninja Turtles III (1993),42273609,42273609,0,2087,PG,2.10E+07,March,1993,4.14,10211016.67,92001260.17,Spring
Fire in the Sky (1993),19885552,19885552,0,1435,PG-13,NA,March,1993,4.14,4803273.43,43277493.6,Spring
Falling Down (1993),NA,NA,0,NA,R,NA,February,1993,4.14,NA,NA,Winter
Groundhog Day (1993),70906973,70906973,0,1742,PG,NA,February,1993,4.14,17127288.16,154316866.4,Winter
Loaded Weapon 1 (1993),27979399,27979399,0,2015,PG-13,NA,February,1993,4.14,6758308.937,60892363.52,Winter
Dumb and Dumber (1994),247275374,127175374,120100000,2565,PG-13,1.70E+07,December,1994,4.18,30424730.62,274126822.9,Winter
Disclosure (1994),214015089,83015089,1.31E+08,2168,R,5.50E+07,December,1994,4.18,19860069.14,178939222.9,Winter
The Santa Clause (1994),189833357,144833357,4.50E+07,2388,PG,2.20E+07,November,1994,4.18,34649128.47,312188647.5,Fall
Star Trek: Generations (1994),118071125,75671125,42400000,2681,PG,3.50E+07,November,1994,4.18,18103139.95,163109291,Fall
Interview with the Vampire (1994),223664608,105264608,118400000,2604,R,6.00E+07,November,1994,4.18,25182920.57,226898114.4,Fall
Stargate (1994),196567262,71567262,1.25E+08,2033,PG-13,NA,October,1994,4.18,17121354.55,154263404.5,Fall
Pulp Fiction (1994),NA,NA,0,NA,R,8.00E+06,October,1994,4.18,NA,NA,Fall
The Specialist (1994),170362582,57362582,1.13E+08,2522,R,4.50E+07,October,1994,4.18,13723105.74,123645182.7,Fall
The River Wild (1994),94216343,46816343,47400000,2153,PG-13,NA,September,1994,4.18,11200082.06,100912739.3,Fall
Timecop (1994),101646581,44853581,56793000,2274,R,NA,September,1994,4.18,10730521.77,96682001.15,Fall
Forrest Gump (1994),NA,NA,0,NA,PG-13,5.50E+07,July,1994,4.18,NA,NA,Summer
Natural Born Killers (1994),50282766,50282766,0,1904,R,3.40E+07,August,1994,4.18,12029369.86,108384622.4,Summer
Clear and Present Danger (1994),215887717,122187717,93700000,2433,PG-13,6.20E+07,August,1994,4.18,29231511.24,263375916.3,Summer
The Mask (1994),351583407,119938730,231644677,2516,PG-13,2.30E+07,July,1994,4.18,28693476.08,258528219.4,Summer
True Lies (1994),378882411,146282411,232600000,2561,R,1.15E+08,July,1994,4.18,34995792.11,315312086.9,Summer
The Lion King (1994),968483777,422783777,545700000,NA,G,4.50E+07,June,1994,4.18,101144444.3,911311442.8,Summer
Wolf (1994),131002597,65002597,6.60E+07,2117,R,NA,June,1994,4.18,15550860.53,140113253.3,Summer
Speed (1994),350448145,121248145,229200000,2169,R,3.00E+07,June,1994,4.18,29006733.25,261350666.6,Summer
The Flintstones (1994),341631208,130531208,211100000,2594,PG,4.60E+07,May,1994,4.18,31227561.72,281360331.1,Spring
Maverick (1994),183031272,101631272,81400000,2537,PG,NA,May,1994,4.18,24313701.44,219066449.9,Spring
When a Man Loves a Woman (1994),50021959,50021959,0,NA,R,NA,April,1994,4.18,11966975.84,107822452.3,Spring
Four Weddings and a Funeral (1994),245700832,52700832,1.93E+08,NA,R,4400000,March,1994,4.18,12607854.55,113596769.5,Spring
D2: The Mighty Ducks (1994),45610410,45610410,0,2223,PG,NA,March,1994,4.18,10911581.34,98313347.87,Spring
The Naked Gun 33 1/3: The Final Insult (1994),51132598,51132598,0,2383,PG-13,3.00E+07,March,1994,4.18,12232678.95,110216437.3,Spring
Guarding Tess (1994),27058304,27058304,0,1614,PG-13,NA,March,1994,4.18,6473278.469,58324239,Spring
Ace Ventura: Pet Detective (1994),107217396,72217396,3.50E+07,1963,PG-13,1.50E+07,February,1994,4.18,17276889,155664769.8,Winter
On Deadly Ground (1994),38590458,38590458,0,2010,R,5.00E+07,February,1994,4.18,9232166.986,83181824.54,Winter
Philadelphia (1993),206678440,77446440,129232000,NA,PG-13,2.60E+07,December,1993,4.14,18706869.57,168548894.8,Winter
Toy Story (1995),373554033,191796233,181757800,2574,G,NA,November,1995,4.35,44091088.05,397260703.3,Fall
GoldenEye (1995),352194034,106429941,245764093,2667,PG-13,NA,November,1995,4.35,24466653.1,220444544.5,Fall
Ace Ventura: When Nature Calls (1995),212385533,108385533,1.04E+08,2705,PG-13,NA,November,1995,4.35,24916214.48,224495092.5,Fall
Get Shorty (1995),115101622,72101622,4.30E+07,2103,R,NA,October,1995,4.35,16575085.52,149341520.5,Fall
Seven (1995),327311859,100125643,227186216,2528,R,3.30E+07,September,1995,4.35,23017389.2,207386676.7,Fall
"To Wong Foo, Thanks for Everything, Julie Newmar (1995)",47774193,36474193,11300000,1489,PG-13,NA,September,1995,4.35,8384871.954,75547696.31,Fall
Mortal Kombat (1995),122195920,70454098,51741822,2630,PG-13,NA,August,1995,4.35,16196344.37,145929062.8,Summer
Dangerous Minds (1995),179519401,84919401,94600000,1783,R,NA,August,1995,4.35,19521701.38,175890529.4,Summer
Waterworld (1995),NA,NA,0,NA,PG-13,1.75E+08,July,1995,4.35,NA,NA,Summer
Clueless (1995),NA,NA,0,NA,PG-13,NA,July,1995,4.35,NA,NA,Summer
Apollo 13 (1995),355237933,173837933,181400000,2347,PG,NA,June,1995,4.35,39962743.22,360064316.4,Summer
Pocahontas (1995),346079773,141579773,204500000,NA,G,NA,June,1995,4.35,32547074.25,293249139,Summer
Batman Forever (1995),336529144,184031112,152498032,2893,PG-13,1.00E+08,June,1995,4.35,42306002.76,381177084.9,Summer
Congo (1995),152022101,81022101,7.10E+07,2676,PG-13,NA,June,1995,4.35,18625770.34,167818190.8,Summer
Casper (1995),287928194,100328194,187600000,2757,PG,NA,May,1995,4.35,23063952.64,207806213.3,Spring
Die Hard: With A Vengeance (1995),366101666,100012499,266089167,2579,R,9.00E+07,May,1995,4.35,22991379.08,207152325.5,Spring
Crimson Tide (1995),157387195,91387195,6.60E+07,2514,R,NA,May,1995,4.35,21008550.57,189287040.7,Spring
French Kiss (1995),101982854,38896854,63086000,1754,PG-13,NA,May,1995,4.35,8941805.517,80565667.71,Spring
While You Were Sleeping (1995),182057016,81057016,1.01E+08,2086,PG,1.70E+07,April,1995,4.35,18633796.78,167890509,Spring
Bad Boys (1995),141407024,65807024,75600000,2132,R,1.90E+07,April,1995,4.35,15128051.49,136303744,Spring
Tommy Boy (1995),32679899,32679899,0,2186,PG-13,NA,March,1995,4.35,7512620.46,67688710.34,Spring
Outbreak (1995),189859560,67659560,122200000,2230,R,NA,March,1995,4.35,15553921.84,140140835.8,Spring
Man of the House (1995),40070995,40070995,0,2059,PG,NA,March,1995,4.35,9211722.989,82997624.13,Spring
The Brady Bunch Movie (1995),46576136,46576136,0,1941,PG-13,NA,February,1995,4.35,10707157.7,96471490.89,Winter
The Quick and the Dead (1995),18636537,18636537,0,2158,R,3.20E+07,February,1995,4.35,4284261.379,38601195.03,Winter
Legends of the Fall (1994),160638883,66638883,9.40E+07,NA,R,NA,December,1994,4.18,15942316.51,143640271.7,Winter
Higher Learning (1995),38290723,38290723,0,1450,R,NA,January,1995,4.35,8802465.057,79310210.17,Winter
Michael (1996),119718203,95318203,24400000,2325,PG,NA,December,1996,4.42,21565204.3,194302490.7,Winter
Beavis and Butt-Head Do America (1996),63118386,63118386,0,2417,PG-13,1.20E+07,December,1996,4.42,14280177.83,128664402.2,Winter
Jerry Maguire (1996),273552592,153952592,119600000,2531,R,5.00E+07,December,1996,4.42,34830903.17,313826437.5,Winter
101 Dalmatians (1996) (1996),320689294,136189294,184500000,2901,G,NA,November,1996,4.42,30812057.47,277616637.8,Fall
